ContractID,LocationID,Latitude,Longitude,CITY,POSTALCODE,CRESTA,COUNTRYISO,RiskCount,ConstructionCodeType,ConstructionCode,OccupancyCodeType,OccupancyCode,YEARBUILT,STORIES,RepValBldg,RepValCont,DeductBldg,DeductType,Currency,CustomElevation
SV075529803,429547,52.745663,13.24116,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,1752533,0,2500,C,EUR,-999
SV074611266,393437,47.594307,7.613818,Weil am Rhein,79576,79,DE,1,AIR,100,AIR,303,0,0,1061205.5,0,5000,C,EUR,-999
SV074611266,203183,49.454416,8.536685,Mannheim,68239,68,DE,1,AIR,100,AIR,303,0,0,935865.5,0,5000,C,EUR,-999
SV074611266,393804,49.004978,8.386135,Karlsruhe,76135,76,DE,1,AIR,100,AIR,303,0,0,1618558.5,0,5000,C,EUR,-999
SV074611266,393430,47.59078,7.61667,Weil am Rhein,79576,79,DE,1,AIR,100,AIR,303,0,0,614673,0,5000,C,EUR,-999
SV074611266,203222,47.591083,7.617741,Weil am Rhein,79576,79,DE,1,AIR,100,AIR,303,0,0,119455,0,5000,C,EUR,-999
SV074693670,203796,52.403518,9.738058,Hannover,30163,30,DE,1,AIR,100,AIR,303,0,0,870424.5,0,5000,C,EUR,-999
SV074693670,394460,52.403714,9.738046,Hannover,30163,30,DE,1,AIR,100,AIR,303,0,0,825671.5,0,5000,C,EUR,-999
SV074693670,203846,51.541577,9.917289,G÷ttingen,37081,37,DE,1,AIR,100,AIR,303,0,0,217524,0,5000,C,EUR,-999
SV074693670,203867,52.337371,9.705895,Hannover,30459,30,DE,1,AIR,100,AIR,303,0,0,345998.5,0,5000,C,EUR,-999
SV074693670,394154,52.45482,9.729384,Langenhagen,30853,30,DE,1,AIR,100,AIR,303,0,0,423650,0,5000,C,EUR,-999
SV074497205,347940,48.053374,11.659285,Ottobrunn,85521,85,DE,1,AIR,100,AIR,303,0,0,7049070,0,500,C,EUR,-999
SV072420266,349885,49.487567,11.001083,F³rth,90765,90,DE,1,AIR,100,AIR,303,0,0,3694260.25,0,2500,C,EUR,-999
SV074611266,203715,47.594602,7.600724,Weil am Rhein,79576,79,DE,1,AIR,100,AIR,303,0,0,832311,0,5000,C,EUR,-999
SV074759028,338857,52.542167,13.144792,Berlin,13591,13,DE,1,AIR,100,AIR,303,0,0,204630,0,2500,C,EUR,-999
SV074759028,338996,52.541971,13.14864,Berlin,13591,13,DE,1,AIR,100,AIR,303,0,0,213720,0,2500,C,EUR,-999
SV075597949,415215,49.85362,8.645435,Darmstadt,64285,64,DE,1,AIR,100,AIR,303,0,0,2483536,0,2500,C,EUR,-999
SV075597949,415313,50.032935,8.690211,Dreieich,63303,63,DE,1,AIR,100,AIR,303,0,0,2444080,0,2500,C,EUR,-999
SV075597949,415322,50.032105,8.688787,Dreieich,63303,63,DE,1,AIR,100,AIR,303,0,0,2402432,0,2500,C,EUR,-999
SV075597949,415383,50.016529,8.674062,Dreieich,63303,63,DE,1,AIR,100,AIR,303,0,0,2071440,0,2500,C,EUR,-999
SV072420266,349788,48.101654,11.721761,Haar,85540,85,DE,1,AIR,100,AIR,303,0,0,5522993,0,2500,C,EUR,-999
SV072420266,349831,49.428721,11.049102,N³rnberg,90441,90,DE,1,AIR,100,AIR,303,0,0,1903303.625,0,2500,C,EUR,-999
SV075070484,381589,51.302304,7.011595,W³lfrath,42489,42,DE,1,AIR,100,AIR,303,0,0,398944,0,1000,C,EUR,-999
